Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SaleType,SaleCondition,SalePrice
252,120,RM,44.0,4750,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,481.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1573,Unf,0,1573,GasA,Ex,Y,SBrkr,0,1625,1,2,0,2,1,Gd,Typ,1,Attchd,Fin,2,TA,TA,Y,123,0,12,2007,WD,Family,235000
862,190,RL,75.0,11625,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,2fmCon,1Story,5,4,1965,1965,Hip,CompShg,Plywood,HdBoard,0.0,TA,TA,PConc,TA,TA,Mn,BLQ,841,Unf,198,1039,GasA,Ex,Y,SBrkr,0,1039,1,1,1,3,1,TA,Typ,0,Attchd,Unf,2,TA,TA,Y,0,0,4,2010,WD,Normal,131500
852,120,RL,70.01578947368421,3196,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,40.0,Gd,TA,PConc,Gd,TA,Gd,Unf,0,Unf,1273,1273,GasA,Ex,Y,SBrkr,0,1456,0,2,0,2,1,Gd,Typ,1,Attchd,Fin,2,TA,TA,Y,143,20,5,2006,WD,Normal,215000
583,90,RL,81.0,11841,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,SFoyer,6,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,104.0,TA,Gd,CBlock,Gd,TA,Av,GLQ,816,Unf,0,816,GasA,TA,Y,SBrkr,0,816,1,1,0,3,1,TA,Typ,0,,,0,,,Y,0,32,5,2007,WD,Normal,118500
327,120,RL,32.0,10846,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1993,1993,Gable,CompShg,BrkFace,BrkFace,0.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,1619,Unf,100,1719,GasA,Ex,Y,SBrkr,0,1719,2,1,1,1,1,Gd,Typ,2,Attchd,Fin,2,TA,TA,Y,122,30,5,2008,Con,Normal,324000
1367,60,RL,68.0,9179,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,158.0,Gd,TA,PConc,Gd,TA,No,GLQ,633,Unf,240,873,GasA,Ex,Y,SBrkr,908,1790,1,2,1,3,1,Gd,Typ,0,Attchd,RFn,2,TA,TA,Y,0,88,6,2008,WD,Abnorml,193000
1262,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1956,1956,Hip,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,Rec,504,Unf,546,1050,GasA,Gd,Y,SBrkr,0,1050,0,1,0,2,1,TA,Typ,0,Attchd,Unf,1,TA,TA,Y,0,0,6,2009,WD,Normal,128900
118,20,RL,74.0,8536,Pave,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,1125,1125,GasA,Gd,Y,SBrkr,0,1125,0,1,1,2,1,TA,Typ,0,Attchd,Unf,2,TA,TA,Y,80,64,4,2007,New,Partial,155000
1068,60,RL,80.0,9760,Pave,Reg,Lvl,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,2Story,6,6,1964,1964,Gable,CompShg,HdBoard,HdBoard,360.0,TA,TA,CBlock,TA,TA,Gd,GLQ,674,LwQ,0,780,GasA,TA,Y,SBrkr,813,1611,1,1,1,4,1,TA,Typ,0,Attchd,RFn,2,TA,TA,Y,328,128,6,2008,WD,Normal,167900
840,50,RL,70.0,11767,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,6,1946,1995,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,352,Unf,416,768,GasA,Ex,Y,SBrkr,432,1200,0,1,0,3,1,TA,Typ,0,Detchd,Unf,1,TA,TA,Y,0,0,5,2008,WD,Normal,130500
195,20,RL,60.0,7180,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,0.0,TA,TA,CBlock,TA,TA,Av,ALQ,390,Unf,474,864,GasA,TA,Y,SBrkr,0,864,0,1,0,3,1,TA,Typ,0,Detchd,Unf,1,TA,TA,Y,0,0,5,2008,WD,Normal,127000
1238,60,RL,41.0,12393,Pave,IR2,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,847,847,GasA,Ex,Y,SBrkr,1101,1948,0,2,1,4,1,Gd,Typ,1,BuiltIn,Fin,2,TA,TA,Y,100,48,9,2006,WD,Normal,195000
370,20,RL,70.01578947368421,9830,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1959,2006,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,72,Rec,733,1063,GasA,Ex,Y,SBrkr,0,1287,1,1,0,3,1,Gd,Typ,1,Detchd,Fin,2,TA,TA,Y,364,17,3,2010,WD,Normal,162000
1044,60,RL,86.0,11839,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1990,1990,Hip,CompShg,HdBoard,HdBoard,99.0,TA,TA,PConc,Gd,TA,No,GLQ,1085,Unf,390,1475,GasA,Ex,Y,SBrkr,797,2329,1,2,1,4,1,Gd,Typ,1,Attchd,Unf,2,TA,TA,Y,192,121,5,2008,WD,Normal,262280
713,120,RL,40.0,4671,Pave,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1988,1989,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,767,Unf,461,1228,GasA,Gd,Y,SBrkr,0,1228,1,2,0,2,1,Gd,Typ,1,Attchd,Fin,2,TA,TA,Y,168,120,10,2008,WD,Normal,189000
509,70,RM,60.0,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,9,1928,2005,Gambrel,CompShg,MetalSd,MetalSd,0.0,TA,Ex,BrkTil,TA,TA,No,Rec,141,Unf,548,689,GasA,Ex,Y,SBrkr,689,1378,0,2,0,3,1,Gd,Typ,1,Detchd,Unf,2,TA,TA,N,0,0,10,2008,WD,Normal,161000
513,20,RL,70.0,9100,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,0.0,TA,TA,CBlock,TA,TA,No,BLQ,521,LwQ,169,864,GasA,TA,Y,SBrkr,0,864,1,1,0,3,1,TA,Typ,0,Detchd,Unf,2,TA,TA,Y,0,0,7,2006,WD,Normal,129900
638,190,RM,50.0,6000,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,5,4,1954,1954,Gable,CompShg,Wd Sdng,Wd Sdng,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,811,811,GasA,TA,Y,FuseA,576,1387,0,2,0,3,2,Gd,Typ,0,BuiltIn,Unf,1,TA,TA,Y,0,0,11,2009,WD,Normal,93000
867,20,RL,67.0,10656,Pave,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,274.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,1638,1638,GasA,Ex,Y,SBrkr,0,1646,0,2,0,3,1,Gd,Typ,1,Attchd,RFn,3,TA,TA,Y,192,80,11,2007,New,Partial,248900
374,20,RL,79.0,10634,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,0.0,TA,TA,PConc,TA,TA,No,BLQ,428,LwQ,0,608,GasA,TA,Y,SBrkr,0,1319,1,1,0,3,1,TA,Min2,0,Attchd,Unf,1,TA,TA,Y,66,0,11,2009,WD,Normal,123000
894,20,RL,70.01578947368421,13284,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,PosN,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,Wd Sdng,Plywood,0.0,TA,TA,PConc,Gd,TA,Mn,BLQ,1064,Unf,319,1383,GasA,TA,Y,SBrkr,0,1383,1,1,0,3,1,TA,Typ,1,Attchd,Unf,1,TA,TA,Y,511,116,6,2008,WD,Normal,165000
874,40,RL,60.0,12144,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1949,1950,Gable,CompShg,HdBoard,HdBoard,0.0,Gd,TA,CBlock,TA,TA,No,Rec,375,Unf,457,832,GasA,Gd,Y,SBrkr,0,1268,0,1,0,3,1,TA,Typ,1,Attchd,Unf,1,TA,TA,Y,0,28,9,2009,WD,Normal,133000
319,60,RL,90.0,9900,Pave,Reg,Low,AllPub,Inside,Mod,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1993,Gable,CompShg,HdBoard,HdBoard,256.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,987,Unf,360,1347,GasA,Ex,Y,SBrkr,1274,2646,1,2,1,4,1,Gd,Typ,1,Attchd,RFn,3,TA,TA,Y,340,60,4,2009,WD,Normal,260000
1182,120,RM,64.0,5587,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,8,5,2008,2008,Hip,CompShg,CemntBd,CmentBd,186.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1480,Unf,120,1600,GasA,Ex,Y,SBrkr,0,1652,1,2,0,2,1,Gd,Typ,1,Attchd,Fin,2,TA,TA,Y,162,53,11,2008,New,Partial,392500
1455,20,FV,62.0,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,410,Unf,811,1221,GasA,Ex,Y,SBrkr,0,1221,1,2,0,2,1,Gd,Typ,0,Attchd,RFn,2,TA,TA,Y,0,113,10,2009,WD,Normal,185000
1417,190,RM,60.0,11340,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,6,1885,1950,Gable,CompShg,VinylSd,AsbShng,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,777,777,GasA,Gd,Y,SBrkr,1044,2290,0,2,0,4,2,TA,Typ,0,Detchd,Unf,2,TA,TA,N,0,0,4,2010,WD,Normal,122500
